;PC4;Locatienaam;Locatienaam_2;Adres;PC6;Plaats;Cap_01012015;Cap_15112015;Soort;Duur;Cap_Gem;gc;Duur tot 4/11;
163;4421;CNO Kapelle;Kapelle;Vroonlandseweg 45;4421 BW ;Kapelle;NA;NA;3;3;200;678;2;
207;9291;CNO Kollum;Kollum;Maartensplein 1;9291 BZ;Kollum;NA;NA;3;1;100;79;1;
135;2923;CNO Krimpen aan de Ijssel;KrimpenadIjssel;Krimpenerbosweg 2 A;2923 LA;Krimpen aan Den IJssel;NA;NA;3;26;100;542;12;
106;1121;CNO Landsmeer;Landsmeer;Marktplein 11;1121 GL ;Landsmeer;NA;NA;3;6;191;415;6;
131;2661;CNO Lansingerland;Lansingerland;Burg. van Oostenweg 4;2661 HN ;Bergschenhoek;NA;NA;3;6;80;1621;0;
109;1251;CNO Laren;Laren;Schapendrift 64;1251;Laren;NA;NA;3;5;150;417;5;
158;4142;CNO Leerdam;Leerdam;Quirinus de Palmelaan 110;4142 CJ;Leerdam;NA;NA;3;20;40;545;6;
125;2332;CNO Leiden;Leiden2;Smaragdlaan 99;2332 JP;Leiden;NA;NA;3;15;122;546;15;
209;2353;CNO Leiderdorp;Leiderdorp;Bloemerd 6; 2353 BZ;Leiderdorp;NA;NA;3;7;120;547;7;
124;2262;CNO Leidschendam;Leidschendam;Fluitpolderplein 1;2262 ED;Leidschendam;NA;NA;3;6;200;1916;6;
201;8223;CNO Lelystad;Lelystad;Badweg 21;8223 PA;Lelystad;NA;NA;3;7;100;995;7;
183;6691;CNO Lingewaard;Lingewaard;Nijmeegsestraat 65c;6691 CM ;Lingewaard (Gendt);NA;NA;3;4;120;1705;4;
120;2161;CNO Lisse;Lisse;Sportlaan 21 ;2161 VA;Lisse;NA;NA;3;6;150;553;6;
178;6051;CNO Maasbracht;Maasbracht;Europlein 7;6051 HM;Maasbracht;NA;NA;3;4;194;1641;4;
139;3144;CNO Maassluis;Maassluis;Rozenlaan 2;3144 NN ;Maassluis;NA;NA;3;4;200;556;4;
48;6222;CNO Maastricht;Maastricht2;Willem Alexanderweg 21;6222 NA;Maasstricht;NA;NA;3;9;100;935;9;
161;4337;CNO Middelburg;Middelburg2;Kruitmolenlaan 127;4337 KP;Middelburg;NA;NA;3;6;200;687;0;
107;1141;CNO Monnickendam;Monnickendam;Het Spil 12;1141 SE;Monnickendam;NA;NA;3;6;150;852;6;
182;6669;CNO Nederbetuwe;Nederbetuwe;Dalwagen 78;6669 CE;Nederbetuwe (Dodewaard);NA;NA;3;7;131;1740;2;
129;2421;CNO Nieuwkoop;Nieuwkoop;De Verbinding 48;2421 EX;Nieuwkoop;NA;NA;3;6;120;569;6;
126;2341;CNO Oegstgeest;Oegstgeest;De Voscuyl 36;2341 BJ;Oegsgeest;NA;NA;3;1;200;579;7;
31;5062;CNO Oisterwijk;Oisterwijk2;Burg. Verwielstraat 65;5062 GC;Oisterwijk;NA;NA;3;3;48;824;3;
193;7576;CNO Oldenzaal;Oldenzaal;Bornsedijk 62;7576 PG;Oldenzaal;NA;NA;3;5;200;173;5;
198;8121;CNO Olst-Wije;OlstWije;Hooiberglaan 11;8121 RA;Olst-Wijhe (Olst);NA;NA;3;10;219;1773;3;
169;4902;CNO Oosterhout;Oosterhout;Wilhelminakanaal Noord 3;4902 VR;Oosterhout;NA;NA;3;7;50;826;7;
187;7136;CNO Oost-Gelre;OostGelre;Zegendijk 3a;7136 LS;Oost-Gerle (Zieuwent);NA;NA;3;7;125;1586;7;
112;1511;CNO Oostzaan;Oostzaan;Twiskeweg 107;1511 BW;Oostzaan;NA;NA;3;2;100;431;0;
142;3261;CNO Oud Beijerland;OudBeijerland;Hortensiastraat 5;3261 BG;Oud-Beijerland;NA;NA;3;28;100;584;13;
181;6661;CNO Overbetuwe;Overbetuwe;Schubertstraat 1;6661 AW;Overbetuwe (Elst);NA;NA;3;3;125;1734;3;
130;2641;CNO Pijnacker;Pijnacker;Sportlaan 1;2641 AZ;Pijnacker;NA;NA;3;4;150;1926;4;
191;7463;CNO Rijssen-Holten;RijssenHolten;Laan Oud-Indiëgangers 1;7463 CH;Rijssen;NA;NA;3;3;150;1742;3;
167;4703;CNO Roosendaal;Roosendaal;De Stok 12;4703 SZ;Roosendaal;NA;NA;3;3;200;1674;3;
