Locatienaam;Locatienaam_2;Adres;PC6;PC4;Plaats;Soort;Cap_Gem;Duur
CNO Kapelle;Kapelle;Vroonlandseweg 45;4421 BW ;4421;Kapelle;3;200;3
CNO Borsele;Borsele;Stengeplein 1;4451 CZ;4451;Heinkenszand;3;200;1
CNO Sluis;Sluis;Noorddijk 3;4506 JE;4506;Sluist (Cadzand-Bad);3;200;5
CNO Bergen op Zoom;BergenopZoom;De Boulevard 6;4617 HA ;4617;Bergen op Zoom;3;200;4
CNO Roosendaal;Roosendaal;De Stok 12;4703 SZ;4703;Roosendaal;3;200;3
CNO Breda;Breda2;Terheijdenseweg 500;4826 AB ;4826;Breda;3;250;5
CNO Oosterhout;Oosterhout;Wilhelminakanaal Noord 3;4902 VR;4902;Oosterhout;3;50;7
CNO Goirle;Goirle;Grobbendonckpark 42;5051 KR;5051;Goirle;3;49;5
CNO Oisterwijk;Oisterwijk2;Burg. Verwielstraat 65;5062 GC;5062;Oisterwijk;3;48;3
CNO Hilvarenbeek;Hilvarenbeek1;Westerwijk 6;5087 KG;5087; Diessen;3;100;3
CNO Hilvarenbeek;Hilvarenbeek2;Esbeeksedijk 4;5087 TG;5087; Diessen;3;50;3
CNO Heusden;Heusden;Abdijlaan 6;5253 VP ;5253;Nieuwkuijk;3;150;23
CNO Boxtel;Boxtel;Het Klaverblad 13;5283 TV ;5283;Boxtel;3;36;55
CNO Zaltbommel;Zaltbommel;Donkerstraat 19;5308 KB ;5308;Aalst;3;50;3
CNO Valkenswaard;Valkenswaard;Bruninckxdal 2;5551 EV;5551;Valkenswaard;3;200;3
CNO Best;Best;Pr. Beatrixlaan 27;5684 GJ;5684;Best;3;200;4
CNO Beesel/Reuver;BeeselReuver;Bösdaellaan 1 ;5953 BP ;5953;Reuver;3;170;3
CNO Maasbracht;Maasbracht;Europlein 7;6051 HM;6051;Maasbracht;3;194;4
CNO Sittard-Geleen;SittardGeleen;Kummenaedestraat 45;6165 BT;6165;Geleen;3;250;5
CNO Maastricht;Maastricht2;Willem Alexanderweg 21;6222 NA;6222;Maasstricht;3;100;9
CNO Voerendaal;Voerendaal;Goswijnstraat 1;6367 BD;6367;Voerendaal;3;200;4
CNO Overbetuwe;Overbetuwe;Schubertstraat 1;6661 AW;6661;Overbetuwe (Elst);3;125;3
CNO Nederbetuwe;Nederbetuwe;Dalwagen 78;6669 CE;6669;Nederbetuwe (Dodewaard);3;131;7
CNO Lingewaard;Lingewaard;Nijmeegsestraat 65c;6691 CM ;6691;Lingewaard (Gendt);3;120;4
CNO Duiven;Duiven;Eltensestraat 4 ;6922 JB;6922;Duiven;3;300;3
CNO Doetinchem;Doetinchem2;Bezelhorstweg 115 ;7002 CC ;7002;Doetinchem;3;41;7
CNO Winterswijk;Winterswijk2;Meenkmolenweg 13;7109 AH ;7109;Winterswijk;3;35;12
CNO Oost-Gelre;OostGelre;Zegendijk 3a;7136 LS;7136;Oost-Gerle (Zieuwent);3;125;7
CNO Zutphen;Zutphen;Fanny Blankers-Koenweg 2 ;7203 AA;7203;Zutphen;3;150;3
CNO Voorst;Voorst;Rijksstraatweg 77;7383 AM ;7383;Voorst;3;50;9
CNO Hellendoorn;Hellendoorn;Ommerweg 150;7447 RJ ;7447;Hellendoorn;3;150;3
CNO Rijssen-Holten;RijssenHolten;Laan Oud-Indiëgangers 1;7463 CH;7463;Rijssen;3;150;3
CNO Hof van Twente;HofvanTwente;de Mossendam 2;7471 SJ;7471;Goor;3;189;5
CNO Oldenzaal;Oldenzaal;Bornsedijk 62;7576 PG;7576;Oldenzaal;3;200;5
CNO Tubbergen;Tubbergen;Pastoor Bloemenstraat 1;7651 CD;7651;Tubbergen;3;200;5
CNO Vriezenveen;Vriezenveen;Schout Doddestraat 11;7671 GT;7671;Vriezeveen;3;200;5
CNO Dalfsen;Dalfsen;Ruigedoornstraat 108;7721 BR;7721;Dalfsen;3;184;1
CNO Hardenberg;Hardenberg;Energieweg 2 ;7772 TV ;7772;Hardenberg;3;300;7
CNO Vierhouten ;Vierhouten2;Het Frusselt 30;8076 RE;8076;Vierhouten;3;40;4
